19561	51963	59208	16998	16354	62936	33517	44656
37747	18819	23312	35504	57537	11337	2820	12084
23862	11072	45365	23313	9847	20635	3976	24066
7781	5022	19132	19024	4259	50188	21508	42541
14784	47486	8948	36433	14200	23949	52696	1846
55694	57434	43660	8960	19690	64874	3011	65045
952	16180	64630	19417	42896	38735	26370	19965
15265	22811	57362	40451	7915	52328	18957	27170
19734	4616	31341	19111	26095	45659	15457	16608
4464	48943	15892	49053	45742	53203	12558	7262
829	4421	39676	30256	51382	19731	44027	38860
55863	16295	59728	39361	53482	65491	35975	39113
30406	13086	548	65359	11909	59986	26135	25658
61843	15848	21369	43347	32703	9516	19907	26812
36398	16803	56134	14559	50453	19254	40300	36021
46752	44301	47568	88	11820	57464	57203	65022
