45458	55399	26989	61916	19134	8831	14366	40442
16946	62580	10843	60894	37694	54031	39892	39925
4269	45814	42125	2769	18057	7016	51731	64094
48944	35035	54125	55313	49442	51639	7124	51525
38152	27232	11886	7768	58106	41846	51914	27246
50282	47829	16963	29009	12634	64279	5517	29952
1650	11233	11034	15202	57386	13507	3496	43032
43312	27272	9274	16779	18558	52495	61625	64613
18711	26112	1373	13886	1118	17793	62540	20270
47509	6298	54193	45840	36526	591	46406	8918
10024	30231	43166	1720	59078	50530	33764	22659
20183	30047	34060	38685	50230	42298	44633	43203
45192	52911	19500	57414	47903	43832	7437	34860
43607	43670	32218	43062	64090	60096	6575	35403
20584	64836	7303	18547	22806	11550	53916	19159
6620	41208	57218	57947	60177	20714	47481	5829
