61228	5692	20817	40480	43159	1330	46136	18483
36239	56496	23975	47084	31140	39261	61062	49766
8921	56919	30681	62516	20193	4386	44072	49268
61651	56669	11273	955	35324	28749	45466	53043
64153	63315	1202	24156	6924	6986	49858	14879
27537	27293	47202	2465	3828	44599	40369	3473
9339	7891	2681	37653	42784	33114	11591	13905
39086	60029	21816	49744	41424	47638	40092	52918
37923	35174	22353	26059	13126	46490	30245	1051
2293	59248	45376	9357	21976	771	4623	39418
59196	12440	4033	49445	12363	58665	611	60143
27711	24153	1119	24779	33443	64324	10100	65042
28013	46933	49233	15804	39656	30036	24435	51124
53045	10273	53684	6478	53662	47102	7148	13490
8072	42926	64422	21765	37401	47560	64670	56111
43373	50498	41765	7917	1628	30511	25603	46878
