9843	23906	63358	28129	21473	9480	28999	11660
25431	24159	14421	5055	42274	55947	16596	15516
18003	6748	15955	16016	40979	32904	48142	10121
43439	22857	54915	487	41374	30859	51765	61357
51267	57309	30823	9413	9261	2460	15042	6277
14315	44855	54189	60481	55751	20921	33918	13353
7658	1265	63064	61875	60460	56279	58135	36510
42789	45494	16430	14625	38373	41489	44461	24332
17106	2599	52963	11618	32019	64961	19067	45742
46154	49807	60945	27696	17762	40919	5100	11830
35839	41480	56262	56698	15652	55725	61040	51709
46238	15610	24861	13634	63659	42276	22095	40824
26597	52486	19732	36876	60026	13636	54590	26119
1263	60298	60236	41197	4193	61206	29982	58176
5191	22849	37744	47106	37905	26078	22864	24619
34246	61974	13385	33202	14690	6099	44669	10390
