38330	31641	27479	64233	19717	39289	64402	46739
53655	27333	21498	63491	26705	30252	32678	48403
44572	13905	38750	37103	45869	61745	43963	14705
27444	11183	14234	56159	51070	58053	57447	64466
21763	10933	6880	37888	24667	20170	12981	16370
30732	32135	46846	11186	59398	40634	143	18965
29461	10464	21567	33771	13083	60318	36843	53352
3578	13896	47516	15749	8530	20256	3749	16897
34347	33513	12944	43072	16177	5158	10230	56101
12591	45038	44945	38041	59013	51504	32337	42461
7575	28079	31239	46350	37999	12187	17209	42936
44360	9967	29042	20533	19968	6890	29992	18435
6542	55735	54711	11139	9188	63403	6142	25958
34305	4746	44093	47985	37192	52611	89	22696
15883	35968	29469	47741	24071	6022	57108	57687
13740	47556	16667	22996	17439	22970	9980	35862
