42629	37405	63218	12678	12946	9616	15825	9096
62505	11677	4064	48637	7209	14705	42902	22538
65196	42239	50474	23940	12655	64008	52559	59749
4789	45546	58551	9710	25967	43550	21503	14972
26322	50770	21040	2389	12181	5092	30575	23552
12511	2822	13782	39623	36996	11118	29173	18612
35031	8575	9023	38709	61438	43306	574	13964
12773	56188	42731	59893	65347	2161	53660	53030
55410	42449	57627	49564	3104	61770	37789	63769
27868	25951	46746	54932	4865	24697	17583	63585
56318	63693	40808	44220	35034	1967	55250	57174
7315	13017	38964	16112	50149	17315	14892	8834
18104	43215	53048	51080	45398	52784	51092	21817
55531	8142	4422	48857	19079	47075	30562	47025
60955	18265	37115	38166	24710	14755	31667	56096
8353	10245	47057	3339	43851	31237	15099	21663
