26172	39421	27791	38128	41648	34413	11286	10311
16249	42151	46701	25479	3223	20575	25762	64134
26672	56138	36687	14892	7189	53934	25952	24758
13367	9534	64570	44195	46433	30722	56449	32174
9436	48466	14742	39887	60961	6034	35217	29062
64973	40080	50897	44500	48473	31599	10463	8162
51255	43089	31955	50422	58957	63032	177	58263
22216	20198	16522	59082	27351	6467	42768	12083
45269	63627	19112	42502	32215	20363	60717	9701
61203	35823	54843	6128	18221	21729	27231	39961
36214	4438	52805	52208	2043	41364	32410	23828
20363	19916	1176	48545	8245	1856	2181	19484
19899	26422	48052	13643	629	19804	21649	39528
55834	56274	16383	16661	22865	43025	26346	26348
31605	56539	21777	41252	4756	59835	13351	25625
28018	43512	10985	63457	17061	8479	27356	52418
