53269	45559	59905	226	10843	58865	7606	17538
52069	8908	36960	5303	2579	53639	12534	48029
39839	39373	56239	56415	17663	46087	18798	54910
15508	9550	4260	62934	18102	11844	24332	10529
23396	12833	63616	59275	40861	16464	9590	60779
30193	44515	20472	51175	25479	26215	49458	25294
37903	366	56440	1589	16538	917	58138	28065
36279	5261	45831	47643	53812	9776	43949	17861
33274	59118	17502	32777	47324	63130	26223	45693
49353	29772	44545	31947	13245	6702	24643	59966
62713	4535	62503	21953	58928	45301	39004	24990
54776	64103	55950	61279	56342	56598	57726	18587
28740	23026	45143	44622	29136	11098	42695	53709
13754	50603	4446	30958	15577	53386	36821	51837
57668	14700	44688	18479	21938	56258	11368	56059
586	43945	15139	30646	33130	24932	58122	28767
