66	73	57	123	8	56	144	234	228	74	173	148	219	167	53	108	34	101	248	85	144	145	90	115	20	13	86	178	56	28	130	21
142	24	74	28	112	15	33	181	204	75	93	63	197	138	189	251	86	248	145	221	252	54	21	213	140	78	132	174	21	241	49	231
210	107	228	135	145	192	19	167	239	139	152	73	159	209	43	146	43	41	17	65	40	62	196	217	209	62	244	132	60	172	49	103
43	162	223	30	208	79	128	20	169	82	182	62	24	241	147	195	41	205	170	84	21	99	29	144	14	107	228	188	255	96	50	217
65	72	25	221	56	134	58	18	74	115	77	240	228	176	150	137	248	178	178	183	38	63	43	0	75	19	160	90	199	219	155	240
234	151	0	121	15	171	238	172	153	245	128	102	23	113	190	32	227	31	48	249	211	47	146	177	251	131	1	0	199	128	100	19
86	188	54	201	62	161	174	117	8	224	32	235	121	255	139	125	182	99	186	48	46	102	127	193	238	207	140	114	171	54	250	182
194	62	165	130	165	136	195	97	202	238	198	35	44	65	234	45	231	150	185	107	234	212	193	188	183	139	177	201	102	225	84	122
226	144	248	30	240	205	171	153	148	145	168	235	106	194	5	56	241	83	47	229	49	174	94	198	238	114	28	203	208	187	111	38
28	90	202	146	168	90	91	176	66	227	147	60	37	138	248	234	154	210	6	136	62	154	124	53	110	63	131	251	204	108	237	112
185	253	167	44	126	97	12	76	82	189	102	16	125	130	108	160	229	157	225	143	161	97	147	211	2	31	40	129	71	227	140	61
184	243	197	157	48	243	232	235	34	160	135	20	69	127	163	147	156	247	117	38	15	168	163	195	205	72	75	152	16	189	158	58
29	141	8	26	138	145	118	146	25	211	49	217	82	197	203	34	233	33	85	232	141	34	197	146	194	43	73	19	122	3	245	112
186	45	166	34	66	107	170	194	188	62	253	119	130	19	177	245	12	33	43	9	29	82	222	229	85	4	113	254	91	248	99	144
137	124	246	88	69	78	136	153	52	73	235	205	172	204	87	122	221	2	115	114	160	2	249	16	32	99	82	223	151	167	20	183
210	174	109	240	214	91	109	73	201	35	214	25	79	75	203	251	58	116	253	249	251	47	40	74	56	39	184	148	214	180	117	37
237	115	55	243	145	138	6	149	240	229	123	237	228	147	254	42	144	44	54	124	96	133	128	162	43	209	108	108	237	98	5	116
4	129	113	131	47	102	50	0	104	23	223	72	73	171	231	134	142	145	180	139	244	52	71	252	222	79	111	191	14	220	254	43
70	1	81	117	123	156	219	249	108	60	181	104	126	9	92	174	135	146	110	95	185	55	136	160	55	120	171	200	120	178	220	120
200	247	52	239	40	227	146	183	15	25	38	188	107	176	157	94	249	36	88	142	151	40	93	246	145	0	122	79	140	36	198	98
27	78	141	70	183	15	182	128	46	156	85	243	197	16	246	62	113	188	231	88	89	64	157	153	21	85	3	163	165	155	140	108
212	43	217	212	84	25	77	34	11	176	83	94	8	68	151	29	26	74	4	243	150	190	107	42	155	139	212	66	190	141	135	182
36	39	80	73	164	151	182	196	41	135	24	14	150	114	81	155	151	44	43	80	176	108	150	9	140	147	185	25	114	85	29	249
89	100	118	44	31	81	92	39	252	171	184	119	92	248	100	100	63	244	212	79	37	49	81	0	202	40	239	218	149	250	109	105
225	191	59	14	238	239	224	56	238	61	33	31	208	94	2	169	248	120	226	60	206	67	102	95	165	22	198	50	53	247	105	189
245	213	73	184	38	54	68	204	144	15	201	204	91	168	231	46	149	176	29	196	125	24	219	40	41	125	62	52	123	54	221	164
241	97	89	116	191	192	240	93	132	112	88	164	18	126	138	154	142	1	34	97	82	68	208	54	133	215	157	249	3	235	23	249
231	35	52	67	52	197	59	162	168	174	79	188	105	149	12	28	30	110	197	37	132	198	114	125	99	101	4	116	90	144	224	110
186	197	51	206	247	11	231	91	253	12	87	203	41	101	125	124	134	36	18	92	216	40	35	250	213	182	43	129	6	181	199	221
44	3	165	100	227	26	191	91	120	58	129	203	110	161	169	71	40	94	8	245	239	180	162	75	10	255	100	69	251	92	221	193
193	242	36	162	95	44	70	8	251	183	231	85	66	242	122	15	115	120	238	58	27	204	204	106	233	230	211	148	217	66	141	23
2	217	199	168	74	143	1	227	15	73	172	48	67	232	108	93	109	156	114	142	2	190	208	170	143	251	114	87	87	209	160	204
216	181	85	102	138	223	248	247	202	93	234	253	157	67	34	30	248	232	193	71	231	83	241	214	134	96	25	151	35	33	80	60
26	148	107	30	135	27	49	162	205	42	206	20	188	219	107	225	79	159	120	100	216	232	163	141	206	156	45	207	41	15	11	94
202	170	12	169	9	140	167	231	163	51	30	37	230	90	88	55	229	246	142	236	174	86	99	79	73	150	81	123	222	21	41	147
182	193	197	83	138	11	236	253	166	254	77	235	123	204	75	65	211	60	65	209	73	200	91	218	73	119	151	26	206	226	155	222
231	216	6	222	255	56	68	216	177	128	197	235	184	169	27	207	40	215	255	176	177	173	227	163	93	76	43	120	29	191	240	162
16	103	154	99	7	113	107	219	93	186	86	146	186	142	252	167	7	72	91	13	157	186	63	38	150	152	206	251	22	240	229	189
141	38	110	167	172	27	68	50	70	101	150	168	173	123	37	248	242	82	83	13	215	26	207	132	11	176	188	45	169	85	136	243
161	190	84	57	189	114	81	186	92	127	215	103	5	232	169	181	239	232	34	27	20	75	106	161	0	7	113	16	210	148	138	71
119	15	94	142	8	150	207	159	254	124	160	203	107	163	201	37	5	19	39	214	123	10	7	154	140	226	27	115	101	218	248	241
251	35	218	101	249	216	10	121	199	148	197	202	134	42	68	116	102	38	158	134	106	195	122	150	46	211	174	209	91	79	133	27
10	105	130	130	120	103	63	64	211	62	250	193	28	238	253	234	88	87	63	136	78	214	201	225	5	195	139	129	252	77	184	135
21	150	218	14	123	253	193	137	83	181	103	133	88	29	179	184	188	66	66	191	147	177	150	221	236	203	83	147	139	214	102	235
235	65	57	80	202	57	30	80	208	19	240	248	37	87	3	160	115	203	113	149	223	135	234	119	217	120	101	101	138	25	231	170
103	141	176	93	1	254	150	54	174	180	105	162	125	87	1	32	201	222	108	211	190	128	168	175	2	54	189	231	111	10	90	164
37	7	192	106	204	22	67	82	231	133	134	172	166	79	47	210	81	1	149	243	232	189	19	197	198	11	162	255	184	191	125	223
80	91	110	93	155	60	128	167	214	187	172	165	1	95	202	83	195	8	186	70	150	34	149	119	33	108	28	160	187	121	63	37
74	147	201	157	33	109	193	197	155	248	188	22	211	57	205	140	107	189	140	167	119	44	3	24	98	191	49	162	162	206	159	154
26	242	30	75	244	197	136	175	112	146	44	231	184	175	205	9	177	254	83	9	150	10	155	78	226	229	37	45	190	141	190	56
155	241	50	135	162	157	233	44	216	174	81	155	250	129	219	133	173	136	57	107	152	26	163	237	138	220	95	218	144	170	141	198
120	184	186	96	189	229	44	193	59	58	30	224	134	47	0	128	34	143	232	136	89	11	52	251	102	35	38	210	185	220	177	106
41	234	30	207	206	40	247	0	216	101	6	112	223	219	85	191	150	117	3	97	245	4	220	96	188	65	70	222	144	66	252	199
194	31	253	152	66	7	197	194	27	182	144	212	189	38	92	192	130	108	155	101	3	74	232	255	195	4	75	135	25	216	168	174
42	187	60	65	38	69	207	15	8	227	146	201	187	59	29	162	214	40	175	168	232	69	142	218	90	52	59	129	118	237	48	156
133	223	94	29	158	198	178	252	166	37	123	100	181	236	9	57	228	81	185	111	64	86	113	148	123	24	226	152	11	154	16	43
56	197	126	31	94	233	189	247	78	215	179	222	156	39	173	5	124	208	49	150	37	91	216	130	145	138	7	114	50	161	18	33
216	210	21	211	102	142	223	119	211	212	29	229	33	114	63	36	155	63	75	60	214	104	211	183	213	164	110	29	49	113	23	180
174	162	126	219	30	129	5	2	60	150	64	78	65	253	36	11	217	210	216	89	67	89	229	54	179	55	253	217	125	185	84	126
223	241	192	234	136	90	27	68	0	195	198	222	66	143	56	63	235	78	201	49	140	138	13	53	145	98	29	161	101	133	97	32
90	208	234	52	183	22	201	41	189	139	211	12	122	195	74	83	199	192	139	91	125	117	42	104	174	143	42	228	145	190	61	133
137	101	113	145	158	72	18	157	173	177	174	174	204	201	190	99	136	185	213	162	85	57	241	7	165	19	97	190	184	130	98	88
235	135	161	199	184	95	108	108	185	78	133	182	229	28	10	93	33	150	130	248	97	255	27	42	247	94	16	190	9	228	67	65
211	34	194	123	84	60	95	24	
