62854	5691	25102	52598	11244	59296	58636	56854
11037	20659	42130	38212	29123	12923	47369	42195
54510	56147	26778	38478	34685	45637	44617	62577
982	47666	17586	5870	64666	62238	6232	52091
44956	30128	47092	11778	39108	16011	5572	53009
28427	30752	7087	11297	22041	30924	60720	19607
64823	9143	34174	57797	1003	20563	46346	27504
14153	36228	48836	21954	22792	24378	7759	55984
4528	7575	60366	36846	62613	44438	15177	29818
34950	37003	274	60682	51443	20189	38283	28878
22493	6412	11846	23384	54628	2591	60369	38268
13962	61522	61511	1848	65423	35490	52625	60026
54484	26746	653	19534	16988	16550	27896	16538
48947	59746	5127	43653	60022	2756	56596	37751
9253	14252	13858	29376	13154	60608	60712	23103
32571	28951	22566	46858	24361	54817	22550	21352
